id,text,label
1,Я постоянно чувствую усталость и теряю интерес к жизни.,1
2,У меня бессонница и пропал аппетит.,1
3,"Иногда чувствую тревогу, но потом всё проходит.",0
4,"Ничего не радует, апатия с утра до вечера.",1
5,Периодически появляется головная боль и давление скачет.,0
6,"Просто немного устаю к вечеру, но в целом всё нормально.",0
7,"Нет желания общаться, тяжело вставать с кровати.",1
8,Часто тревожусь и чувствую себя одиноко.,1
9,"Сон нарушен, пропало чувство радости.",0
10,"Жалоб нет, чувствую себя хорошо.",0
